Vehicle ID,Registration State,Vehicle Make,Vehicle Model,Vehicle Year,Insurance Provider,Insurance Policy Type,Insurance Claim History,Policy Expiration Date,Vehicle Condition,Owner Age Group,Accident History
VID00066,CA,Volkswagen,Jetta,2012,Allstate,Liability,No,2025-11-19,Fair,46-60,3
VID00067,TX,Ford,Elantra,2021,Liberty Mutual,Comprehensive,No,2025-12-10,Poor,26-35,5
VID00068,CA,Kia,C-Class,2000,Progressive,Comprehensive,Yes,2025-12-16,Fair,60+,0
VID00069,NY,Ford,Altima,2011,Allstate,Collision,No,2025-12-26,Poor,46-60,4
VID00070,GA,Hyundai,Camry,2023,Geico,Comprehensive,No,2025-11-03,Poor,36-45,1
VID00071,NY,Hyundai,Camry,2020,Progressive,Collision,No,2025-06-26,Good,46-60,0
VID00072,NC,BMW,Camry,2017,Liberty Mutual,Liability,No,2025-12-24,Poor,60+,4
VID00073,FL,BMW,Silverado,2021,USAA,Collision,Yes,2025-11-13,Poor,46-60,5
VID00074,FL,Nissan,Elantra,2020,Geico,Full Coverage,No,2025-10-05,Good,36-45,3
VID00075,TX,Kia,Sorento,2022,Allstate,Collision,Yes,2025-12-30,Good,46-60,3
VID00076,CA,BMW,3 Series,2007,Geico,Full Coverage,Yes,2025-04-26,Poor,26-35,3
VID00077,OH,Toyota,Camry,2023,Geico,Collision,Yes,2025-07-13,Poor,60+,5
VID00078,PA,Hyundai,Camry,2005,State Farm,Collision,Yes,2026-01-15,Good,18-25,2
VID00079,FL,BMW,Civic,2009,Farmers,Full Coverage,Yes,2025-05-17,Good,36-45,3
VID00080,CA,Nissan,3 Series,2001,Liberty Mutual,Liability,Yes,2025-12-12,Good,18-25,5
VID00081,FL,Toyota,Civic,2004,Progressive,Liability,No,2025-06-24,Fair,26-35,0
VID00082,NY,Honda,Silverado,2005,Geico,Full Coverage,No,2025-08-19,Fair,26-35,1
VID00083,NC,Mercedes,Jetta,2011,Allstate,Collision,No,2025-09-15,Fair,46-60,0
VID00084,FL,Chevrolet,Jetta,2002,State Farm,Collision,No,2026-01-12,Fair,18-25,0
VID00085,MI,Ford,Civic,2007,Farmers,Collision,No,2026-01-19,Fair,26-35,5
VID00086,OH,Mercedes,Elantra,2019,State Farm,Comprehensive,Yes,2025-09-08,Poor,60+,0
VID00087,GA,Ford,3 Series,2011,Allstate,Full Coverage,Yes,2025-11-04,Fair,18-25,4
VID00088,MI,Toyota,Sorento,2009,Farmers,Comprehensive,No,2025-11-15,Good,46-60,1
VID00089,TX,Chevrolet,Silverado,2010,Liberty Mutual,Liability,Yes,2025-05-17,Poor,36-45,3
VID00090,CA,Ford,Elantra,2011,Progressive,Comprehensive,Yes,2025-06-03,Poor,60+,1
VID00091,NC,Nissan,3 Series,2013,Farmers,Full Coverage,No,2026-03-02,Poor,46-60,0
VID00092,NC,BMW,Sorento,2020,State Farm,Comprehensive,Yes,2026-01-22,Fair,60+,5
VID00093,FL,Mercedes,3 Series,2011,Geico,Comprehensive,Yes,2026-01-29,Good,60+,4
VID00094,TX,Kia,F-150,2013,Geico,Liability,Yes,2025-05-18,Poor,36-45,4
VID00095,TX,Kia,Sorento,2019,Allstate,Liability,Yes,2025-12-07,Fair,46-60,4
VID00096,IL,Ford,F-150,2023,State Farm,Comprehensive,No,2025-11-12,Poor,60+,0
VID00097,CA,Kia,Sorento,2009,Progressive,Full Coverage,No,2025-09-20,Poor,46-60,2
VID00098,NY,Toyota,3 Series,2006,Geico,Collision,Yes,2025-12-12,Fair,46-60,3
VID00099,MI,Ford,Altima,2018,Farmers,Comprehensive,Yes,2025-12-18,Fair,26-35,0
VID00100,FL,Nissan,Altima,2022,USAA,Collision,Yes,2026-01-29,Fair,26-35,0
VID00101,IL,Mercedes,Jetta,2012,Progressive,Liability,Yes,2025-10-30,Poor,36-45,3
VID00102,NC,Toyota,Sorento,2003,State Farm,Full Coverage,No,2025-11-01,Poor,46-60,0
VID00103,NC,Toyota,C-Class,2005,Geico,Liability,No,2026-01-26,Fair,60+,1
VID00104,NY,Toyota,F-150,2020,Progressive,Full Coverage,No,2025-11-15,Fair,46-60,3
VID00105,TX,Mercedes,C-Class,2007,Geico,Collision,No,2025-05-30,Good,36-45,1
VID00106,OH,Toyota,Elantra,2022,USAA,Collision,No,2025-05-28,Fair,60+,4
VID00107,GA,Honda,Silverado,2003,Geico,Liability,Yes,2026-01-04,Poor,46-60,5
VID00108,NC,Volkswagen,Camry,2000,Liberty Mutual,Collision,No,2026-01-01,Poor,18-25,3
VID00109,NY,Toyota,3 Series,2019,Farmers,Collision,No,2025-06-21,Fair,26-35,0
VID00110,IL,Volkswagen,F-150,2022,Progressive,Comprehensive,No,2025-05-05,Poor,18-25,0
VID00111,OH,Volkswagen,Civic,2023,Geico,Full Coverage,Yes,2025-10-25,Fair,46-60,3
VID00112,NY,Nissan,Silverado,2007,Progressive,Collision,No,2026-02-21,Good,18-25,1
VID00113,IL,Mercedes,Elantra,2016,State Farm,Full Coverage,No,2025-06-10,Poor,26-35,2
VID00114,MI,Ford,Elantra,2012,Progressive,Collision,Yes,2025-12-14,Poor,18-25,3
VID00115,NC,Mercedes,C-Class,2001,State Farm,Collision,No,2025-09-13,Fair,18-25,3
VID00116,MI,Nissan,Civic,2007,State Farm,Comprehensive,No,2025-12-05,Good,18-25,2
VID00117,MI,Chevrolet,Silverado,2020,USAA,Full Coverage,Yes,2026-02-04,Fair,36-45,2
VID00118,MI,Ford,Camry,2003,Liberty Mutual,Full Coverage,Yes,2025-10-07,Poor,18-25,0
VID00119,IL,Kia,Camry,2022,Allstate,Full Coverage,Yes,2026-01-12,Poor,60+,0
VID00120,TX,BMW,Sorento,2017,Farmers,Comprehensive,Yes,2025-08-17,Poor,18-25,4
VID00121,FL,Volkswagen,Altima,2007,Farmers,Liability,No,2025-07-28,Poor,18-25,3
VID00122,TX,Kia,Camry,2022,State Farm,Comprehensive,Yes,2025-09-24,Good,36-45,3
VID00123,TX,Toyota,Silverado,2001,Geico,Full Coverage,No,2025-12-06,Fair,46-60,4
VID00124,OH,Kia,3 Series,2002,Farmers,Full Coverage,No,2025-07-17,Poor,46-60,1
VID00125,CA,Toyota,Altima,2003,Geico,Liability,Yes,2026-02-14,Fair,46-60,4
VID00126,GA,Honda,C-Class,2016,Allstate,Liability,No,2025-12-19,Fair,26-35,4
VID00127,FL,Honda,Sorento,2013,State Farm,Liability,Yes,2025-07-19,Good,26-35,2
VID00128,NC,BMW,Camry,2014,Farmers,Liability,No,2026-03-09,Good,18-25,0
VID00129,CA,Toyota,Elantra,2005,State Farm,Liability,Yes,2025-10-14,Poor,26-35,2
VID00130,NY,BMW,Altima,2018,Farmers,Full Coverage,Yes,2026-03-06,Fair,18-25,2
VID00131,IL,Honda,Jetta,2013,Farmers,Collision,Yes,2025-09-06,Poor,46-60,0
VID00132,OH,BMW,Sorento,2012,Farmers,Collision,Yes,2025-06-21,Fair,18-25,2
VID00133,OH,Mercedes,3 Series,2001,Geico,Full Coverage,No,2025-07-15,Fair,26-35,4
VID00134,NY,Ford,Silverado,2006,Allstate,Comprehensive,No,2025-12-30,Good,46-60,3
VID00135,GA,Mercedes,Elantra,2002,Liberty Mutual,Full Coverage,No,2025-06-10,Poor,18-25,3
VID00136,PA,BMW,F-150,2004,Progressive,Full Coverage,Yes,2025-08-20,Good,36-45,1
VID00137,FL,Kia,Altima,2004,Geico,Comprehensive,No,2026-03-10,Poor,46-60,1
VID00138,FL,Kia,Civic,2005,State Farm,Collision,No,2025-08-22,Fair,36-45,2
VID00139,MI,Ford,Jetta,2008,USAA,Comprehensive,No,2026-03-18,Fair,18-25,5
VID00140,NY,Kia,F-150,2015,Liberty Mutual,Liability,Yes,2025-07-19,Good,60+,4
VID00141,NC,Volkswagen,Civic,2012,USAA,Full Coverage,No,2025-10-16,Good,46-60,1
VID00142,TX,Ford,Silverado,2008,Allstate,Full Coverage,No,2026-01-27,Poor,18-25,1
VID00143,PA,Nissan,Silverado,2013,Farmers,Comprehensive,Yes,2025-09-30,Good,46-60,2
VID00144,MI,Chevrolet,3 Series,2004,Liberty Mutual,Full Coverage,No,2025-12-20,Good,46-60,2
VID00145,FL,Volkswagen,F-150,2009,State Farm,Collision,No,2025-05-25,Good,26-35,0
VID00146,IL,Honda,Civic,2015,Progressive,Comprehensive,No,2025-08-12,Good,26-35,4
VID00147,FL,Nissan,C-Class,2015,Allstate,Full Coverage,Yes,2025-10-01,Fair,36-45,4
VID00148,NY,Kia,C-Class,2011,Allstate,Full Coverage,Yes,2025-08-21,Fair,18-25,1
VID00149,OH,Ford,Sorento,2006,Geico,Collision,No,2025-06-01,Poor,18-25,4
VID00150,IL,Chevrolet,C-Class,2014,Allstate,Collision,No,2025-05-01,Fair,46-60,1
VID00151,OH,Honda,3 Series,2007,Progressive,Comprehensive,No,2025-11-02,Good,18-25,3
VID00152,FL,Volkswagen,Jetta,2006,USAA,Comprehensive,Yes,2025-08-09,Good,18-25,4
VID00153,CA,Nissan,Sorento,2015,Progressive,Liability,Yes,2025-11-16,Poor,46-60,4
VID00154,CA,Toyota,Camry,2014,State Farm,Collision,No,2025-08-28,Fair,18-25,2
VID00155,MI,BMW,F-150,2008,USAA,Collision,No,2025-09-13,Fair,60+,1
VID00156,NY,BMW,Camry,2022,Liberty Mutual,Comprehensive,Yes,2025-05-01,Poor,18-25,2
VID00157,TX,Honda,Civic,2018,USAA,Full Coverage,Yes,2026-03-04,Fair,26-35,4
VID00158,PA,Chevrolet,Sorento,2006,Allstate,Liability,Yes,2025-11-15,Fair,36-45,1
VID00159,NY,Kia,3 Series,2011,Liberty Mutual,Liability,Yes,2026-01-05,Fair,60+,5
VID00160,GA,Kia,Sorento,2017,USAA,Liability,No,2025-10-06,Good,18-25,5
VID00161,GA,Volkswagen,Civic,2012,Liberty Mutual,Full Coverage,Yes,2025-11-23,Fair,46-60,2
VID00162,TX,Hyundai,Altima,2003,Progressive,Full Coverage,No,2025-07-27,Poor,36-45,2
VID00163,MI,Toyota,Silverado,2021,Liberty Mutual,Full Coverage,Yes,2025-06-29,Good,36-45,3
VID00164,NY,Kia,Elantra,2001,Progressive,Full Coverage,Yes,2025-05-09,Good,18-25,4
VID00165,IL,Ford,3 Series,2008,Geico,Collision,Yes,2025-06-11,Poor,36-45,1
VID00166,OH,Volkswagen,Silverado,2020,Progressive,Liability,Yes,2025-11-06,Good,46-60,5
VID00167,IL,Ford,Silverado,2023,Geico,Comprehensive,Yes,2026-03-16,Fair,26-35,2
VID00168,OH,Kia,Sorento,2014,USAA,Full Coverage,Yes,2025-06-27,Fair,18-25,4
VID00169,FL,BMW,Silverado,2012,Allstate,Comprehensive,Yes,2025-08-19,Poor,26-35,1
VID00170,NY,Hyundai,Civic,2017,State Farm,Comprehensive,Yes,2025-07-07,Poor,36-45,2
VID00171,FL,Volkswagen,Camry,2010,Allstate,Liability,Yes,2025-07-26,Poor,18-25,1
VID00172,FL,Kia,Elantra,2022,Farmers,Liability,Yes,2026-03-08,Good,46-60,4
VID00173,IL,Hyundai,F-150,2008,USAA,Liability,Yes,2025-05-29,Fair,26-35,5
VID00174,PA,Chevrolet,Camry,2003,Liberty Mutual,Comprehensive,Yes,2025-04-25,Fair,46-60,2
VID00175,PA,Mercedes,3 Series,2000,USAA,Comprehensive,No,2026-02-09,Poor,60+,4
VID00176,NC,BMW,Camry,2016,USAA,Full Coverage,No,2025-08-28,Fair,60+,3
VID00177,NY,BMW,Camry,2010,Farmers,Collision,No,2025-11-28,Fair,18-25,0
VID00178,TX,Mercedes,Silverado,2008,Allstate,Comprehensive,No,2025-11-11,Good,60+,2
VID00179,FL,Hyundai,F-150,2006,USAA,Comprehensive,Yes,2025-10-31,Good,46-60,1
VID00180,FL,Volkswagen,F-150,2003,Farmers,Collision,No,2025-12-29,Good,18-25,3
VID00181,NC,Nissan,F-150,2013,Allstate,Collision,Yes,2025-10-03,Poor,18-25,3
VID00182,PA,Ford,F-150,2002,Geico,Liability,No,2026-01-09,Good,18-25,4
VID00183,OH,Hyundai,Camry,2004,Allstate,Full Coverage,Yes,2025-08-25,Fair,18-25,1
VID00184,NC,Volkswagen,Camry,2017,State Farm,Comprehensive,No,2025-07-20,Poor,36-45,5
VID00185,PA,Hyundai,F-150,2008,State Farm,Collision,Yes,2025-06-21,Poor,26-35,4
VID00186,IL,Nissan,Silverado,2012,Allstate,Full Coverage,No,2025-06-05,Good,60+,3
VID00187,CA,Chevrolet,Civic,2013,Geico,Comprehensive,No,2025-11-14,Fair,26-35,3
VID00188,PA,Nissan,Elantra,2019,Liberty Mutual,Collision,No,2025-11-01,Poor,60+,4
VID00189,TX,Hyundai,Camry,2000,Liberty Mutual,Full Coverage,No,2025-10-23,Good,46-60,3
VID00190,IL,Chevrolet,Altima,2011,Liberty Mutual,Collision,Yes,2025-09-01,Poor,26-35,5
VID00191,PA,Chevrolet,3 Series,2001,Liberty Mutual,Full Coverage,Yes,2026-01-09,Poor,60+,3
VID00192,MI,Volkswagen,Silverado,2007,Farmers,Liability,No,2026-02-15,Poor,46-60,2
VID00193,FL,Mercedes,Silverado,2020,Allstate,Collision,No,2026-02-19,Poor,46-60,2
VID00194,NC,BMW,3 Series,2002,Farmers,Full Coverage,No,2026-02-04,Poor,46-60,0
VID00195,IL,Nissan,Silverado,2020,Progressive,Comprehensive,Yes,2025-09-08,Poor,36-45,0
VID00196,TX,Kia,F-150,2018,Farmers,Collision,No,2026-02-26,Poor,26-35,2
VID00197,FL,Ford,C-Class,2004,USAA,Liability,No,2025-08-19,Poor,46-60,5
VID00198,NY,Hyundai,C-Class,2003,State Farm,Full Coverage,Yes,2026-01-15,Poor,36-45,3
VID00199,FL,Chevrolet,Camry,2011,Farmers,Full Coverage,Yes,2025-08-29,Poor,36-45,2
VID00200,PA,Hyundai,Jetta,2021,Allstate,Comprehensive,No,2025-09-12,Poor,46-60,5
VID00201,TX,Hyundai,3 Series,2006,Liberty Mutual,Collision,Yes,2026-01-19,Fair,26-35,0
VID00202,TX,Mercedes,Camry,2022,Geico,Full Coverage,No,2025-08-21,Fair,46-60,0
VID00203,IL,Chevrolet,C-Class,2020,Farmers,Comprehensive,Yes,2025-07-10,Good,46-60,4
VID00204,CA,Honda,Civic,2002,USAA,Full Coverage,Yes,2025-05-19,Poor,60+,4
VID00205,TX,Kia,Silverado,2004,State Farm,Comprehensive,No,2025-08-14,Good,26-35,0
VID00206,PA,Ford,Elantra,2002,Geico,Collision,Yes,2026-02-21,Poor,46-60,4
VID00207,MI,Volkswagen,Elantra,2014,USAA,Comprehensive,Yes,2025-11-11,Good,46-60,5
VID00208,OH,BMW,F-150,2003,USAA,Liability,No,2026-03-25,Poor,46-60,4
VID00209,MI,Ford,Silverado,2002,Progressive,Comprehensive,No,2025-07-27,Poor,60+,4
VID00210,GA,BMW,Elantra,2009,Geico,Full Coverage,Yes,2025-10-07,Good,18-25,1
VID00211,GA,Mercedes,C-Class,2003,State Farm,Comprehensive,Yes,2025-09-21,Good,60+,2
VID00212,OH,Chevrolet,Sorento,2013,Allstate,Liability,Yes,2026-03-23,Fair,36-45,5
VID00213,FL,Honda,Jetta,2023,USAA,Full Coverage,Yes,2026-03-15,Good,46-60,3
VID00214,PA,Nissan,Elantra,2011,Liberty Mutual,Liability,No,2025-06-29,Fair,60+,5
VID00215,NY,BMW,Civic,2003,USAA,Liability,Yes,2025-07-04,Poor,60+,5
VID00216,PA,Toyota,Elantra,2014,State Farm,Full Coverage,Yes,2025-12-24,Poor,46-60,3
VID00217,PA,Volkswagen,F-150,2021,Farmers,Comprehensive,No,2025-07-19,Good,46-60,3
VID00218,CA,Toyota,3 Series,2015,Progressive,Collision,Yes,2025-08-01,Good,60+,3
VID00219,CA,Toyota,Civic,2007,Progressive,Full Coverage,No,2025-05-25,Fair,18-25,3
VID00220,TX,Ford,Jetta,2005,Liberty Mutual,Comprehensive,Yes,2026-02-07,Fair,36-45,1
VID00221,GA,Mercedes,Civic,2010,USAA,Liability,Yes,2025-06-28,Poor,26-35,5
VID00222,IL,Volkswagen,Sorento,2013,State Farm,Collision,Yes,2025-09-16,Poor,60+,3
VID00223,MI,BMW,Sorento,2011,Geico,Comprehensive,No,2025-10-27,Good,18-25,1
VID00224,OH,Hyundai,Silverado,2009,Geico,Liability,No,2025-09-26,Good,26-35,1
VID00225,GA,Volkswagen,3 Series,2019,Progressive,Full Coverage,No,2025-11-12,Good,46-60,4
VID00226,GA,Honda,Silverado,2018,State Farm,Comprehensive,Yes,2026-03-22,Good,60+,4
VID00227,CA,Ford,Elantra,2012,Progressive,Comprehensive,Yes,2025-07-15,Fair,18-25,5
VID00228,IL,Toyota,C-Class,2022,Farmers,Comprehensive,Yes,2025-11-12,Poor,60+,4
VID00229,GA,Nissan,Camry,2019,Geico,Comprehensive,Yes,2025-09-04,Good,36-45,5
VID00230,NC,Honda,C-Class,2015,Progressive,Comprehensive,Yes,2025-09-20,Fair,18-25,0
VID00231,CA,Nissan,F-150,2004,Farmers,Comprehensive,Yes,2025-06-23,Fair,46-60,2
VID00232,GA,BMW,F-150,2016,State Farm,Liability,No,2026-01-14,Fair,46-60,1
VID00233,IL,Hyundai,Sorento,2002,Geico,Full Coverage,No,2026-03-12,Poor,26-35,3
VID00234,FL,Honda,Sorento,2019,Liberty Mutual,Comprehensive,No,2025-10-16,Poor,60+,4
VID00235,FL,Volkswagen,F-150,2003,State Farm,Liability,Yes,2025-12-02,Poor,60+,0
VID00236,TX,BMW,Altima,2000,Liberty Mutual,Comprehensive,No,2025-12-28,Good,46-60,0
VID00237,GA,Kia,Sorento,2004,State Farm,Collision,Yes,2025-10-21,Fair,18-25,3
VID00238,FL,Kia,Sorento,2023,Progressive,Full Coverage,Yes,2026-01-06,Good,60+,1
VID00239,IL,Mercedes,Elantra,2014,Farmers,Comprehensive,Yes,2025-11-18,Fair,26-35,0
VID00240,GA,Kia,Altima,2004,State Farm,Full Coverage,Yes,2026-02-12,Good,36-45,0
VID00241,CA,Kia,Camry,2003,Farmers,Collision,No,2025-11-19,Good,26-35,4
VID00242,NC,Chevrolet,Altima,2007,Liberty Mutual,Full Coverage,No,2025-12-03,Good,36-45,0
VID00243,MI,Volkswagen,Elantra,2015,Geico,Comprehensive,Yes,2025-05-18,Fair,18-25,2
VID00244,OH,Honda,Camry,2009,Allstate,Full Coverage,Yes,2025-06-07,Good,26-35,4
VID00245,CA,Kia,Elantra,2003,Allstate,Full Coverage,No,2025-06-09,Poor,26-35,2
VID00246,MI,Hyundai,3 Series,2000,Geico,Full Coverage,Yes,2025-12-12,Fair,18-25,1
VID00247,OH,Kia,F-150,2005,Farmers,Collision,No,2025-09-09,Poor,18-25,1
VID00248,IL,Mercedes,3 Series,2012,Progressive,Full Coverage,No,2025-10-30,Fair,60+,5
VID00249,TX,Volkswagen,C-Class,2005,Progressive,Liability,Yes,2025-07-30,Poor,36-45,5
VID00250,NC,Mercedes,C-Class,2015,Geico,Collision,Yes,2026-01-27,Fair,18-25,4
VID00251,NY,Ford,F-150,2018,USAA,Collision,No,2026-01-11,Poor,26-35,4
VID00252,OH,Volkswagen,Jetta,2001,Progressive,Comprehensive,No,2026-03-18,Poor,46-60,3
VID00253,TX,Volkswagen,3 Series,2004,USAA,Collision,No,2025-11-19,Fair,36-45,0
VID00254,OH,Ford,3 Series,2005,Liberty Mutual,Liability,No,2025-09-18,Poor,26-35,0
VID00255,IL,Kia,Altima,2018,Progressive,Comprehensive,Yes,2025-05-05,Good,60+,2
VID00256,GA,Mercedes,F-150,2016,Allstate,Comprehensive,No,2025-09-05,Fair,18-25,2
VID00257,PA,Volkswagen,Sorento,2014,Geico,Full Coverage,No,2025-09-02,Fair,60+,2
VID00258,NY,Mercedes,F-150,2006,Progressive,Liability,No,2026-01-07,Poor,26-35,1
VID00259,IL,Hyundai,Silverado,2012,USAA,Full Coverage,Yes,2025-06-21,Fair,46-60,3
VID00260,FL,Honda,Civic,2018,State Farm,Full Coverage,Yes,2025-10-01,Good,26-35,1
VID00261,NY,Nissan,Silverado,2009,Allstate,Full Coverage,Yes,2025-06-10,Poor,26-35,4
VID00262,CA,Kia,Elantra,2015,Progressive,Liability,No,2025-05-03,Poor,26-35,2
VID00263,GA,Mercedes,Sorento,2022,USAA,Full Coverage,No,2025-07-05,Poor,26-35,1
VID00264,CA,Ford,F-150,2021,Geico,Comprehensive,No,2025-09-27,Fair,18-25,2
VID00265,CA,Honda,Altima,2012,Geico,Liability,No,2025-12-15,Good,36-45,1
VID00266,CA,Kia,C-Class,2005,Farmers,Full Coverage,No,2026-02-06,Poor,26-35,0
VID00267,GA,Nissan,Jetta,2021,State Farm,Comprehensive,Yes,2025-08-16,Good,26-35,4
VID00268,MI,Toyota,Silverado,2021,USAA,Comprehensive,Yes,2025-12-14,Poor,60+,2
VID00269,CA,Kia,Camry,2003,Geico,Full Coverage,No,2025-10-04,Fair,18-25,0
